noise_level,base_mae,adv_mae
0.0,0.06410972584127804,0.07334911065717717
0.1,0.09857384894125458,0.09479141838558146
0.2,0.15542659908072604,0.1376883995065915
0.3,0.20995671184159811,0.18453427064713376
